Restaurant_id,Restaurant_link,Retaurant Name,Rating,price_for_one_two,Cousines
667962,https://www.swiggy.com/restaurants/paris-panini-gourmet-sandwiches-and-wraps-church-street-central-bangalore-bangalore-667962,Paris Panini - Gourmet Sandwiches & Wraps,4.5,₹500 FOR TWO,"Continental, Pastas, Salads, Snacks, Desserts, Fast Food, French"
3241,https://www.swiggy.com/restaurants/meghana-foods-residency-road-ashok-nagar-bangalore-3241,Meghana Foods,4.5,₹500 FOR TWO,"Biryani, Andhra, South Indian, North Indian, Chinese, Seafood"
109787,https://www.swiggy.com/restaurants/chianti-mg-road-bangalore-109787,Chianti,4.4,₹1250 FOR TWO,"Italian, Pizzas, Salads, Pastas, Desserts"
121603,https://www.swiggy.com/restaurants/kannur-food-point-sg-palya-tavarekere-bangalore-121603,Kannur Food Point,3.9,₹300 FOR TWO,"Kerala, Chinese"
574263,https://www.swiggy.com/restaurants/rahhams-pulikeshi-nagar-frazer-town-bangalore-574263,Rahhams,4.3,₹700 FOR TWO,"Biryani, Mughlai, North Indian, Kebabs, Chinese, Seafood, Beverages"
30531,https://www.swiggy.com/restaurants/hotel-empire-brigade-road-bangalore-30531,Hotel Empire,4.3,₹450 FOR TWO,"North Indian, Kebabs, Biryani"
484182,https://www.swiggy.com/restaurants/california-burrito-gandhi-bazaar-basavanagudi-bangalore-484182,California Burrito,4.5,₹250 FOR TWO,"Mexican, American, Salads, Continental, Keto, Healthy Food"
210945,https://www.swiggy.com/restaurants/royal-restaurant-sulthangunta-shivajinagar-bangalore-210945,Royal Restaurant,3.9,₹300 FOR TWO,"Chinese, North Indian, Tandoor"
29063,https://www.swiggy.com/restaurants/misu-ashok-nagar-st-marks-road-bangalore-29063,Misu,4.4,₹1300 FOR TWO,"Asian, Chinese, Vietnamese, Malaysian, Sushi, Singaporean, Desserts"
280474,https://www.swiggy.com/restaurants/empire-juices-and-desserts-gandhi-nagar-majestic-bangalore-280474,Empire Juices and Desserts,4,₹200 FOR TWO,"Ice Cream, Juices"
196047,https://www.swiggy.com/restaurants/new-taj-darbar-saint-marys-church-road-shivajinagar-bangalore-196047,New Taj Darbar,3.4,₹300 FOR TWO,"Biryani, Indian, Chinese, Tandoor, Seafood"
5938,https://www.swiggy.com/restaurants/burger-king-tasker-town-shivaji-nagar-bangalore-5938,Burger King,4.1,₹350 FOR TWO,"Burgers, American"
3369,https://www.swiggy.com/restaurants/truffles-ashok-nagar-st-marks-road-bangalore-3369,Truffles,4.4,₹450 FOR TWO,"American, Desserts, Continental, Italian"
252332,https://www.swiggy.com/restaurants/al-bek-sampige-road-malleshwaram-bangalore-252332,Al-Bek,4.2,₹500 FOR TWO,"Arabian, Tandoor, Biryani"
10575,https://www.swiggy.com/restaurants/pizza-hut-shanti-nagar-bangalore-10575,Pizza Hut,3.9,₹600 FOR TWO,Pizzas
424609,https://www.swiggy.com/restaurants/bikaner-sweets-4th-t-block-jayanagar-bangalore-424609,Bikaner Sweets,4.1,₹99 FOR TWO,Sweets
280474,https://www.swiggy.com/restaurants/empire-juices-and-desserts-gandhi-nagar-majestic-bangalore-280474,Empire Juices and Desserts,4,₹200 FOR TWO,"Ice Cream, Juices"
30959,https://www.swiggy.com/restaurants/kfc-garuda-mall-magrath-road-bangalore-30959,KFC,3.7,₹400 FOR TWO,"Burgers, Biryani, American, Snacks, Fast Food"
420484,https://www.swiggy.com/restaurants/keventers-ice-cream-garuda-mall-magrath-road-bangalore-420484,Keventers Ice Cream,4.4,₹200 FOR TWO,"Ice Cream, Desserts"
414818,https://www.swiggy.com/restaurants/ath-all-things-healthy-doopanahalli-indiranagar-bangalore-414818,ATH - All Things Healthy!,4.3,₹200 FOR TWO,"Healthy Food, Indian, Bakery, Snacks, North Indian, Keto"
424616,https://www.swiggy.com/restaurants/sea-spice-multicuisine-restaurant-sampige-road-malleshwaram-bangalore-424616,Sea Spice Multicuisine Restaurant,4.6,₹400 FOR TWO,"Seafood, Chinese, Biryani"
12808,https://www.swiggy.com/restaurants/a2b-adyar-ananda-bhavan-wilson-garden-shanti-nagar-bangalore-12808,A2B - Adyar Ananda Bhavan,4.4,₹300 FOR TWO,"South Indian, North Indian, Sweets, Chinese"
